frame,time_sec,track_id,class_id,class_name,direction,prev_center_x,prev_center_y,center_x,center_y
9,0.75,11,11,pickup,negative_to_positive,73.30937194824219,261.6651916503906,72.02677154541016,269.82177734375
75,6.25,6,10,motorbike,positive_to_negative,383.30242919921875,270.27349853515625,385.3108825683594,260.97906494140625
79,6.583333333333333,9,18,truck,positive_to_negative,608.25634765625,272.890869140625,607.543212890625,269.0762939453125
88,7.333333333333333,18,5,car,positive_to_negative,493.67041015625,271.1736145019531,493.3539733886719,269.2948303222656
103,8.583333333333334,10,5,car,positive_to_negative,389.83843994140625,271.5938415527344,392.3856201171875,266.8807067871094
113,9.416666666666666,5,5,car,positive_to_negative,610.1158447265625,272.2230224609375,609.689697265625,269.31829833984375
128,10.666666666666666,2,5,car,positive_to_negative,503.267578125,270.4905090332031,503.49224853515625,266.9928283691406
137,11.416666666666666,1,5,car,positive_to_negative,401.639404296875,272.72430419921875,403.4593505859375,269.3588562011719
141,11.75,3,15,suv,positive_to_negative,275.87060546875,271.0979309082031,276.47528076171875,269.10418701171875
155,12.916666666666666,157,5,car,positive_to_negative,614.2462158203125,270.78070068359375,612.553466796875,269.0834655761719
156,13.0,219,5,car,positive_to_negative,391.10504150390625,270.8083801269531,394.43341064453125,267.7999572753906
157,13.083333333333334,344,15,suv,positive_to_negative,393.60552978515625,269.720458984375,396.0519104003906,265.07684326171875
171,14.25,16,5,car,positive_to_negative,493.84613037109375,274.98614501953125,494.62176513671875,269.3217468261719
187,15.583333333333334,271,4,bus,positive_to_negative,628.7435302734375,276.75439453125,628.5650634765625,267.1390686035156
188,15.666666666666666,312,5,car,positive_to_negative,490.64715576171875,271.4110107421875,491.66693115234375,268.4560546875
188,15.666666666666666,328,5,car,positive_to_negative,384.0976257324219,271.74981689453125,389.8553466796875,260.73162841796875
213,17.75,463,16,taxi,positive_to_negative,499.90802001953125,270.6876525878906,500.38677978515625,267.56396484375
215,17.916666666666668,574,11,pickup,positive_to_negative,500.41204833984375,270.7948303222656,501.8036193847656,259.4511413574219
219,18.25,458,5,car,positive_to_negative,383.7654113769531,272.9051818847656,389.0593566894531,264.88299560546875
222,18.5,55,9,minivan,negative_to_positive,45.2180061340332,265.87384033203125,44.960025787353516,273.2515869140625
234,19.5,498,4,bus,positive_to_negative,629.48828125,269.6997375488281,628.99951171875,265.71856689453125
